ZIP Code,Household Median Income,Household Mean Income,Family Median Income,Family Mean Income,Married-couple Family Median Income,Married-couple Family Mean Income,Nonfamily Household Median Income,Nonfamily Household Mean Income,Primary Practice,Number of Pediatricians,Land Area sq meters,Water Area sq meters,Land Area sq miles,Water Area sq miles,Latitude,Longitude,Population,Population Density per sq mile
89010,32847.0,53109.0,44750.0,66807.0,67813.0,,21429.0,31610.0,nan,,,,,,,,,
89019,56765.0,86818.0,89558.0,131125.0,,,,50086.0,nan,,,,,,,,,
89060,45833.0,56469.0,52552.0,60592.0,53488.0,,35592.0,48517.0,nan,,1164029185.0,83993.0,449.434,0.032,36.391556,-116.0575681,10692.0,23.789922435774773
89061,56865.0,62940.0,61148.0,69431.0,65688.0,,33474.0,47327.0,nan,,165855694.0,10631.0,64.037,0.004,36.0701105,-115.9062487,5537.0,86.46563705357839
89439,60547.0,89705.0,81875.0,113306.0,87845.0,,33750.0,37521.0,nan,,42115079.0,336966.0,16.261,0.13,39.5233524,-119.9903835,1244.0,76.5020601439026
90001,48011.0,57935.0,50344.0,59620.0,58167.0,,21458.0,31940.0,Pediatrics,1.0,8495419.0,0.0,3.28,0.0,33.9736648,-118.2490388,58974.0,17979.87804878049
90002,42245.0,54170.0,45417.0,55762.0,56556.0,,20671.0,30966.0,Pediatrics,2.0,7750658.0,0.0,2.993,0.0,33.9489868,-118.2467796,53402.0,17842.298696959573
90003,42220.0,54272.0,44595.0,55637.0,56653.0,66307.0,18478.0,27484.0,Pediatrics,2.0,9389890.0,0.0,3.625,0.0,33.9640773,-118.2736836,74117.0,20446.068965517243
90004,52775.0,92624.0,58073.0,109018.0,71074.0,,46222.0,67522.0,Pediatrics,7.0,7901466.0,0.0,3.051,0.0,34.0762187,-118.3109634,61105.0,20027.859718125204
90005,42398.0,59439.0,49552.0,71319.0,57464.0,,35102.0,46870.0,Pediatrics,3.0,3055752.0,0.0,1.18,0.0,34.0593736,-118.3089617,38885.0,32953.38983050847
90006,37375.0,53427.0,37185.0,52764.0,45654.0,63438.0,32468.0,47475.0,Pediatrics,4.0,5008238.0,0.0,1.934,0.0,34.0480942,-118.2940452,58560.0,30279.214064115826
90007,30530.0,55776.0,41172.0,79084.0,60452.0,78998.0,17801.0,34116.0,Pediatrics,2.0,6294012.0,0.0,2.43,0.0,34.0281645,-118.2848289,42380.0,17440.329218106996
90008,47230.0,73947.0,72036.0,99243.0,100426.0,,33882.0,51792.0,Pediatrics,8.0,7493792.0,68544.0,2.893,0.026,34.0107237,-118.3428833,31900.0,11026.61596958175
90009,,,,,,,,,Pediatrics,1.0,,,,,,,,
90010,70500.0,102014.0,68973.0,130674.0,84375.0,,69120.0,84309.0,Pediatrics,1.0,1011326.0,0.0,0.39,0.0,34.0609873,-118.2998843,4108.0,10533.333333333332
90011,44616.0,58009.0,43691.0,57309.0,51961.0,63774.0,25109.0,33105.0,Pediatrics,1.0,11108402.0,515.0,4.289,0.0,34.00709,-118.2586805,110750.0,25821.86989974353
90012,49905.0,80555.0,45934.0,78893.0,49107.0,,48515.0,78407.0,Pediatrics,2.0,9422176.0,128581.0,3.638,0.05,34.0659747,-118.2386422,37268.0,10244.090159428257
90013,21175.0,62660.0,116094.0,157570.0,130000.0,,17365.0,50125.0,Pediatrics,1.0,1826725.0,27070.0,0.705,0.01,34.0446854,-118.2400221,13009.0,18452.482269503547
90014,36429.0,66863.0,98056.0,99403.0,112692.0,,26455.0,60950.0,Pediatrics,0.0,775392.0,0.0,0.299,0.0,34.0430056,-118.2518996,9126.0,30521.739130434784
90015,48743.0,82258.0,47273.0,81979.0,72083.0,,50451.0,81487.0,Pediatrics,10.0,4385528.0,0.0,1.693,0.0,34.0393093,-118.2662548,23900.0,14116.952155936207
90016,49958.0,69853.0,57602.0,76600.0,79231.0,,40868.0,57385.0,Pediatrics,1.0,9316180.0,16402.0,3.597,0.006,34.0283315,-118.3543375,46340.0,12882.9580205727
90017,36870.0,61933.0,32495.0,58353.0,41166.0,,38620.0,62707.0,Pediatrics,7.0,1831103.0,0.0,0.707,0.0,34.0530983,-118.2645052,27832.0,39366.33663366337
90018,49644.0,68705.0,54144.0,76447.0,69828.0,,31238.0,48108.0,Pediatrics,0.0,7771932.0,0.0,3.001,0.0,34.028632,-118.3173467,52444.0,17475.508163945353
90019,58313.0,89027.0,68157.0,100210.0,94601.0,122509.0,42261.0,72241.0,Pediatrics,2.0,10024972.0,7710.0,3.871,0.003,34.0498412,-118.3384601,62816.0,16227.331438904675
90020,50207.0,74885.0,51988.0,93253.0,58576.0,,43178.0,52877.0,Pediatrics,4.0,2879823.0,0.0,1.112,0.0,34.0663822,-118.3098315,39366.0,35401.07913669064
90021,21625.0,52696.0,56300.0,77027.0,57400.0,,13059.0,41461.0,Pediatrics,0.0,5120416.0,29156.0,1.977,0.011,34.029036,-118.2378702,3285.0,1661.6084977238238
90022,51183.0,63040.0,54566.0,65997.0,59024.0,72324.0,22143.0,34010.0,Pediatrics,7.0,11453822.0,11013.0,4.422,0.004,34.0237282,-118.1562745,66168.0,14963.36499321574
