ZIP Code,Population Under 18 years,Total Population,Percent Population Under 18 years,Female Population Under 18 years,Male Population Under 18 years,Population Density per sq mile
89010,71,461,15.4,36,35,
89019,146,2312,6.3,109,37,
89060,1917,12198,15.7,1343,574,23.789922435774773
89061,971,7529,12.9,308,663,86.46563705357839
89439,192,1639,11.7,69,123,76.5020601439026
90001,17012,57652,29.5,8721,8291,17979.87804878049
90002,15282,53108,28.8,7390,7892,17842.298696959573
90003,23588,75024,31.4,10560,13028,20446.068965517243
90004,10842,58833,18.4,4922,5920,20027.859718125204
90005,6565,37754,17.4,3074,3491,32953.38983050847
90006,11210,56628,19.8,6064,5146,30279.214064115826
90007,5377,41004,13.1,2723,2654,17440.329218106996
90008,5777,33076,17.5,3145,2632,11026.61596958175
90010,180,4185,4.3,115,65,10533.333333333332
90011,30173,106042,28.5,14284,15889,25821.86989974353
90012,3144,38430,8.2,1186,1958,10244.090159428257
90013,341,14587,2.3,183,158,18452.482269503547
90014,426,9273,4.6,139,287,30521.739130434784
90015,3477,25554,13.6,1750,1727,14116.952155936207
90016,9984,47309,21.1,4383,5601,12882.9580205727
90017,5743,28754,20.0,2583,3160,39366.33663366337
90018,10479,49898,21.0,4800,5679,17475.508163945353
90019,10146,59410,17.1,4981,5165,16227.331438904675
90020,6479,38400,16.9,3120,3359,35401.07913669064
90021,369,2781,13.3,172,197,1661.6084977238238
90022,15403,64147,24.0,7296,8107,14963.36499321574
90023,13155,44558,29.5,6235,6920,10775.306926106092
90024,3407,50392,6.8,1927,1480,17508.069939475452
90025,4744,44429,10.7,1909,2835,18595.84476675813
90026,9862,64769,15.2,4837,5025,16788.33746898263
90027,5519,45764,12.1,2645,2874,5661.046153846154
90028,2256,30982,7.3,1431,825,20771.01257445401
90029,5346,34649,15.4,2738,2608,26254.36046511628
90031,7147,37457,19.1,3516,3631,11284.857142857143
90032,8955,44881,20.0,3897,5058,9939.14849428868
90033,12086,47655,25.4,5959,6127,15164.784864205065
90034,7411,55061,13.5,3933,3478,18192.84101902612
90035,5421,26595,20.4,2723,2698,12181.45869947276
90036,5389,37713,14.3,2344,3045,15517.508143322477
90037,18249,69064,26.4,9249,9000,23329.98614958449
90038,3527,27979,12.6,1645,1882,18470.284237726097
90039,3674,28244,13.0,1701,1973,8232.417582417582
90040,2510,11839,21.2,1285,1225,2220.366379310345
90041,5107,28321,18.0,2274,2833,8316.082359488037
90042,10131,59151,17.1,5082,5049,13389.909271962822
90043,8905,44461,20.0,4374,4531,11301.316431009263
90044,29348,98990,29.6,13922,15426,19596.236769894156
90045,6206,41123,15.1,2968,3238,3698.763825634353
90046,3500,48170,7.3,1621,1879,8794.2110836569
90047,11834,52200,22.7,5327,6507,10847.036328871893
90048,1840,20411,9.0,754,1086,11498.151082937136
90049,6401,35819,17.9,3055,3346,2445.2310980496927
90052,0,0,,0,0,
90056,1711,8225,20.8,833,878,3568.6448184233836
90057,10044,47142,21.3,5146,4898,56557.954545454544
90058,731,3049,24.0,321,410,519.0114068441065
90059,12445,39471,31.5,6061,6384,13381.087919038584
90061,8031,28646,28.0,3934,4097,10598.9679321784
90062,7184,33528,21.4,3584,3600,18819.706498951786
90063,12316,52008,23.7,5877,6439,16391.476407914764
90064,4765,25956,18.4,2245,2520,6978.517722878625
90065,7936,44897,17.7,3840,4096,8631.876138433516
90066,8589,54142,15.9,4229,4360,12240.22462562396
90067,291,2653,11.0,155,136,5953.488372093023
90068,2216,21064,10.5,904,1312,2697.401299350325
90069,1233,20045,6.2,544,689,9309.944237918216
90071,0,313,0.0,0,0,1125.925925925926
90073,0,1014,0.0,0,0,1794.776119402985
90077,1839,7868,23.4,997,842,1146.7915174882953
90079,0,0,,0,0,0.0
90089,90,4164,2.2,68,22,11472.39263803681
90094,2470,11891,20.8,1596,874,12678.32167832168
90095,0,0,,0,0,0.0
90201,25850,95134,27.2,12706,13144,16785.571142284567
90210,3513,19180,18.3,1643,1870,1789.0770375883887
90211,1825,9208,19.8,1025,800,13158.57142857143
90212,1443,10881,13.3,762,681,12542.766631467794
90220,14012,49101,28.5,7169,6843,7378.143972246314
90221,14108,52119,27.1,6944,7164,9464.41181936443
90222,9080,33021,27.5,4644,4436,12762.09826376062
90230,6813,32005,21.3,3190,3623,7298.458149779735
90232,2926,16352,17.9,1328,1598,6898.28941285252
90240,6036,26026,23.2,3367,2669,8906.945829179129
90241,10175,45341,22.4,5079,5096,8767.480008201765
90242,9294,41685,22.3,4757,4537,9234.499557130204
90245,3550,17081,20.8,1860,1690,3099.289454001496
90247,9593,47682,20.1,4810,4783,12648.296059637913
90248,1670,11453,14.6,1022,648,2403.7450031559015
90249,5208,25929,20.1,2669,2539,8812.920592193808
90250,24046,96200,25.0,11494,12552,14053.63475177305
90254,3779,19551,19.3,1735,2044,13398.88033589923
90255,17925,71654,25.0,8383,9542,19965.11003757381
90260,7662,33282,23.0,3981,3681,13983.805668016194
90262,17157,66073,26.0,7974,9183,14536.67225481978
90263,14,1803,0.8,9,5,7747.863247863247
90265,3142,16652,18.9,1223,1919,162.39978380326096
90266,9408,35123,26.8,4715,4693,8662.05533596838
90270,6906,24950,27.7,3166,3740,22814.970563498737
90272,5562,21298,26.1,2867,2695,917.5591113350972
90274,5487,24942,22.0,2824,2663,2049.695147415017
90275,8779,41941,20.9,4192,4587,3083.875258646172
90277,6939,36339,19.1,3555,3384,9662.18487394958
90278,10659,42536,25.1,5405,5254,10920.730046308909
90280,22875,92262,24.8,11408,11467,12859.756097560976
90290,1053,5300,19.9,547,506,277.7036048064085
90291,3181,25656,12.4,1477,1704,11178.9046653144
90292,2988,24481,12.2,1432,1556,11417.461832061068
90293,1249,13039,9.6,481,768,4713.503649635036
90301,7690,37341,20.6,3896,3794,15848.4482063684
90302,6292,29307,21.5,3131,3161,15351.280710925248
90303,5733,23370,24.5,2688,3045,12344.667697063369
90304,6369,25725,24.8,2943,3426,16209.756097560976
90305,2380,14679,16.2,1263,1117,5881.025248661056
90401,315,7480,4.2,101,214,9376.15894039735
90402,2785,11816,23.6,1279,1506,5698.824681684623
90403,3179,24092,13.2,1501,1678,17251.4164305949
90404,3985,23975,16.6,1776,2209,11723.490613901571
90405,4012,26981,14.9,1681,2331,9891.765551959728
90501,9646,42536,22.7,4740,4906,7440.281442392261
90502,2926,18430,15.9,1506,1420,8274.676194729791
90503,8876,44280,20.0,3735,5141,8421.112587810898
90504,6639,32965,20.1,3231,3408,7415.646258503401
90505,8553,36214,23.6,4335,4218,6291.866028708134
90506,0,0,,0,0,0.0
90601,6056,30667,19.7,3175,2881,2888.417279758536
90602,6719,25949,25.9,3228,3491,6776.652452025587
90603,4471,20883,21.4,2099,2372,6569.712298450838
90604,9684,39795,24.3,4848,4836,9632.929436920886
90605,9459,41427,22.8,4465,4994,6445.662386470404
90606,6891,31717,21.7,3510,3381,8600.685292567212
90620,10230,47042,21.7,4823,5407,7259.422110552763
90621,8012,36151,22.2,4170,3842,8456.106870229007
90623,2991,15419,19.4,1356,1635,8613.009922822492
90630,11656,50170,23.2,6158,5498,8028.943089430893
90631,14887,69064,21.6,6753,8134,4919.355992844365
90638,9128,46170,19.8,4224,4904,6284.387096774193
90639,19,1833,1.0,19,0,
90640,13043,62294,20.9,6890,6153,7554.127117625856
90650,23294,101983,22.8,11267,12027,10555.847303575036
90660,12853,61561,20.9,6430,6423,8064.3787898335695
90670,3714,17556,21.2,1988,1726,1972.8300072132724
90680,6961,31102,22.4,3760,3201,12071.708463949844
90701,3208,16237,19.8,1669,1539,10135.135135135137
90703,9127,49334,18.5,3965,5162,5673.639689071788
90704,820,3822,21.5,432,388,55.21166002970206
90706,18465,78352,23.6,9624,8841,12504.340704340704
90710,6188,27517,22.5,3298,2890,12239.074550128536
90712,6917,31552,21.9,3207,3710,7300.830367734283
90713,5603,28439,19.7,2609,2994,8046.424452133795
90715,4157,20949,19.8,2136,2021,12097.345132743363
90716,3574,13941,25.6,1897,1677,15385.45059717698
90717,4361,21788,20.0,2087,2274,10443.83424862706
90720,5812,23673,24.6,2718,3094,3783.1880243461096
90723,14273,53286,26.8,6840,7433,11364.862018116706
90731,13715,63431,21.6,7065,6650,6592.195121951219
90732,3917,22078,17.7,1938,1979,6307.240704500979
90740,3293,24604,13.4,1615,1678,2186.138613861386
90742,27,469,5.8,12,15,3587.2093023255816
90743,53,434,12.2,28,25,2206.8965517241377
90744,15200,54277,28.0,6539,8661,6351.260126012601
90745,11794,58735,20.1,5723,6071,6755.044979333818
90746,4887,27643,17.7,2469,2418,4746.413137424373
90747,0,25,0.0,0,0,0.0
90755,2277,11764,19.4,1061,1216,5272.89461573861
90802,5186,40012,13.0,2661,2525,6024.457775726811
90803,3309,31659,10.5,1485,1824,7939.177542477222
90804,6574,37299,17.6,3044,3530,17670.680870773507
90805,24626,96515,25.5,12055,12571,12817.630408410838
