ZIP Code,Household Median Income,Household Mean Income,Family Median Income,Family Mean Income,Married-couple Family Median Income,Married-couple Family Mean Income,Nonfamily Household Median Income,Nonfamily Household Mean Income
89010,32847.0,53109.0,44750.0,66807.0,67813.0,,21429.0,31610.0
89019,56765.0,86818.0,89558.0,131125.0,,,,50086.0
89060,45833.0,56469.0,52552.0,60592.0,53488.0,,35592.0,48517.0
89061,56865.0,62940.0,61148.0,69431.0,65688.0,,33474.0,47327.0
89439,60547.0,89705.0,81875.0,113306.0,87845.0,,33750.0,37521.0
90001,48011.0,57935.0,50344.0,59620.0,58167.0,,21458.0,31940.0
90002,42245.0,54170.0,45417.0,55762.0,56556.0,,20671.0,30966.0
90003,42220.0,54272.0,44595.0,55637.0,56653.0,66307.0,18478.0,27484.0
90004,52775.0,92624.0,58073.0,109018.0,71074.0,,46222.0,67522.0
90005,42398.0,59439.0,49552.0,71319.0,57464.0,,35102.0,46870.0
90006,37375.0,53427.0,37185.0,52764.0,45654.0,63438.0,32468.0,47475.0
90007,30530.0,55776.0,41172.0,79084.0,60452.0,78998.0,17801.0,34116.0
90008,47230.0,73947.0,72036.0,99243.0,100426.0,,33882.0,51792.0
90010,70500.0,102014.0,68973.0,130674.0,84375.0,,69120.0,84309.0
90011,44616.0,58009.0,43691.0,57309.0,51961.0,63774.0,25109.0,33105.0
90012,49905.0,80555.0,45934.0,78893.0,49107.0,,48515.0,78407.0
90013,21175.0,62660.0,116094.0,157570.0,130000.0,,17365.0,50125.0
90014,36429.0,66863.0,98056.0,99403.0,112692.0,,26455.0,60950.0
90015,48743.0,82258.0,47273.0,81979.0,72083.0,,50451.0,81487.0
90016,49958.0,69853.0,57602.0,76600.0,79231.0,,40868.0,57385.0
90017,36870.0,61933.0,32495.0,58353.0,41166.0,,38620.0,62707.0
90018,49644.0,68705.0,54144.0,76447.0,69828.0,,31238.0,48108.0
90019,58313.0,89027.0,68157.0,100210.0,94601.0,122509.0,42261.0,72241.0
90020,50207.0,74885.0,51988.0,93253.0,58576.0,,43178.0,52877.0
90021,21625.0,52696.0,56300.0,77027.0,57400.0,,13059.0,41461.0
90022,51183.0,63040.0,54566.0,65997.0,59024.0,72324.0,22143.0,34010.0
90023,45991.0,58183.0,49053.0,59693.0,54345.0,66925.0,20870.0,34449.0
90024,63344.0,134236.0,127543.0,244614.0,155293.0,,43941.0,76405.0
90025,97791.0,126948.0,118693.0,158273.0,139539.0,,83937.0,105979.0
90026,67435.0,97820.0,70290.0,104104.0,85819.0,,63555.0,89425.0
90027,71651.0,110881.0,88479.0,149096.0,104041.0,,58542.0,82420.0
90028,50253.0,70230.0,55809.0,83494.0,63118.0,,47175.0,64422.0
90029,45004.0,64635.0,50286.0,74300.0,65449.0,,35517.0,52291.0
90031,51076.0,76666.0,51708.0,74981.0,58207.0,,35761.0,71797.0
90032,59723.0,79371.0,62972.0,84093.0,80218.0,,40180.0,56077.0
90033,43646.0,57992.0,46566.0,58546.0,60522.0,,22083.0,43762.0
90034,80773.0,104934.0,95522.0,128860.0,113701.0,,70952.0,86860.0
90035,99367.0,143414.0,127209.0,193297.0,147600.0,,78088.0,97930.0
90036,84315.0,126358.0,114782.0,166919.0,129181.0,,68849.0,99007.0
90037,37945.0,55177.0,43544.0,58040.0,51063.0,67492.0,18673.0,33302.0
90038,48786.0,66663.0,50804.0,74151.0,53467.0,,44496.0,59577.0
90039,88104.0,134981.0,112331.0,163790.0,128309.0,,70271.0,98532.0
90040,54567.0,69829.0,62586.0,75038.0,65368.0,,22548.0,40097.0
90041,90461.0,121689.0,106114.0,142076.0,125670.0,,60465.0,79625.0
90042,73152.0,97223.0,74856.0,102763.0,98497.0,,63623.0,82021.0
90043,56285.0,77808.0,71942.0,96532.0,104956.0,,28104.0,48352.0
90044,39434.0,56281.0,46764.0,62878.0,64246.0,83517.0,16931.0,28625.0
90045,110535.0,143151.0,147039.0,178715.0,171250.0,,80112.0,93410.0
90046,72457.0,116558.0,114390.0,163293.0,122951.0,,61469.0,94609.0
90047,58830.0,73485.0,70734.0,87624.0,86830.0,107159.0,20700.0,38410.0
90048,93583.0,151911.0,140821.0,225294.0,155363.0,,74871.0,105074.0
90049,133032.0,227182.0,191930.0,323905.0,233266.0,,94981.0,133305.0
90056,84387.0,120594.0,117852.0,155278.0,139375.0,,60486.0,65515.0
