ZIP Code,Population Under 18 years (Selected),Total Population,Population Under 5 years,Population 5 to 9 years,Population 10 to 14 years,Population 15 to 19 years,Percent Population Under 5 years,Percent Population 5 to 9 years,Percent Population 10 to 14 years,Percent Population Under 18 years (Selected),Male Population Under 5 years,Male Population 5 to 9 years,Male Population 10 to 14 years,Female Population Under 5 years,Female Population 5 to 9 years,Female Population 10 to 14 years,Female Population Under 18 years (Selected)
89010,71,461,20,28,23,10,4.3,6.1,5.0,15.4,9,9,17,11,19,6,36
89019,146,2312,56,31,28,76,2.4,1.3,1.2,6.3,12,14,0,44,17,28,109
89060,1917,12198,509,662,372,510,4.2,5.4,3.0,15.7,174,153,104,335,509,268,1343
89061,971,7529,69,411,342,184,0.9,5.5,4.5,12.9,20,206,315,49,205,27,308
89439,192,1639,42,111,29,18,2.6,6.8,1.8,11.7,30,62,21,12,49,8,69
90001,17012,57652,4145,4620,5120,4820,7.2,8.0,8.9,29.5,1914,2405,2626,2231,2215,2494,8721
90002,15282,53108,3519,4341,4687,4533,6.6,8.2,8.8,28.8,1745,2179,2414,1774,2162,2273,7390
90003,23588,75024,5689,6484,7206,6378,7.6,8.6,9.6,31.4,2983,3544,4097,2706,2940,3109,10560
90004,10842,58833,3221,3287,2932,2533,5.5,5.6,5.0,18.4,1760,1732,1857,1461,1555,1075,4922
90005,6565,37754,1726,1786,2058,1669,4.6,4.7,5.5,17.4,832,1043,1056,894,743,1002,3074
90006,11210,56628,2494,3485,3274,3429,4.4,6.2,5.8,19.8,1047,1506,1793,1447,1979,1481,6064
90007,5377,41004,1339,1462,1547,4688,3.3,3.6,3.8,13.1,652,709,747,687,753,800,2723
90008,5777,33076,1544,1454,2076,1345,4.7,4.4,6.3,17.5,684,695,872,860,759,1204,3145
90010,180,4185,82,23,27,76,2.0,0.5,0.6,4.3,28,10,27,54,13,0,115
90011,30173,106042,6597,8186,9609,9271,6.2,7.7,9.1,28.5,3787,4175,5180,2810,4011,4429,14284
90012,3144,38430,983,775,745,1203,2.6,2.0,1.9,8.2,556,493,451,427,282,294,1186
90013,341,14587,66,103,105,92,0.5,0.7,0.7,2.3,0,38,105,66,65,0,183
90014,426,9273,152,101,146,163,1.6,1.1,1.6,4.6,74,75,111,78,26,35,139
90015,3477,25554,823,902,1115,1340,3.2,3.5,4.4,13.6,463,285,586,360,617,529,1750
90016,9984,47309,2251,2668,3383,2498,4.8,5.6,7.2,21.1,1328,1398,1924,923,1270,1459,4383
90017,5743,28754,1697,1409,1592,1668,5.9,4.9,5.5,20.0,905,791,894,792,618,698,2583
90018,10479,49898,2888,2692,3223,2840,5.8,5.4,6.5,21.0,1592,1623,1566,1296,1069,1657,4800
90019,10146,59410,2902,2246,3235,2640,4.9,3.8,5.4,17.1,1503,1127,1631,1399,1119,1604,4981
90020,6479,38400,1906,2062,1482,1780,5.0,5.4,3.9,16.9,1074,1047,704,832,1015,778,3120
90021,369,2781,58,185,38,138,2.1,6.7,1.4,13.3,18,123,38,40,62,0,172
90022,15403,64147,3679,4201,4455,4560,5.7,6.5,6.9,24.0,2149,2053,2507,1530,2148,1948,7296
90023,13155,44558,2691,3422,4376,3988,6.0,7.7,9.8,29.5,1469,1858,2359,1222,1564,2017,6235
90024,3407,50392,1146,997,687,10841,2.3,2.0,1.4,6.8,358,550,353,788,447,334,1927
90025,4744,44429,2100,987,1108,1218,4.7,2.2,2.5,10.7,1375,543,557,725,444,551,1909
90026,9862,64769,3289,2255,2566,3006,5.1,3.5,4.0,15.2,1905,906,1290,1384,1349,1276,4837
90027,5519,45764,2245,1655,1001,1059,4.9,3.6,2.2,12.1,1222,825,544,1023,830,457,2645
90028,2256,30982,395,797,686,862,1.3,2.6,2.2,7.3,126,284,213,269,513,473,1431
90029,5346,34649,1297,1244,1690,1607,3.7,3.6,4.9,15.4,649,643,812,648,601,878,2738
90031,7147,37457,2014,1479,2330,1991,5.4,3.9,6.2,19.1,936,793,1169,1078,686,1161,3516
90032,8955,44881,2401,2268,2827,2706,5.3,5.1,6.3,20.0,1487,1198,1671,914,1070,1156,3897
90033,12086,47655,2899,3334,3625,4081,6.1,7.0,7.6,25.4,1616,1683,1599,1283,1651,2026,5959
90034,7411,55061,2362,1918,2051,1837,4.3,3.5,3.7,13.5,1115,818,949,1247,1100,1102,3933
90035,5421,26595,1853,1438,1413,990,7.0,5.4,5.3,20.4,943,705,654,910,733,759,2723
90036,5389,37713,1615,1351,1658,1204,4.3,3.6,4.4,14.3,908,786,852,707,565,806,2344
90037,18249,69064,4551,5363,5486,4756,6.6,7.8,7.9,26.4,2234,2605,2614,2317,2758,2872,9249
90038,3527,27979,983,620,1114,1547,3.5,2.2,4.0,12.6,593,268,588,390,352,526,1645
90039,3674,28244,1118,1293,841,862,4.0,4.6,3.0,13.0,590,808,342,528,485,499,1701
90040,2510,11839,344,891,730,884,2.9,7.5,6.2,21.2,161,441,396,183,450,334,1285
90041,5107,28321,1714,1347,1233,1995,6.1,4.8,4.4,18.0,1189,717,642,525,630,591,2274
90042,10131,59151,3106,2587,2863,2716,5.3,4.4,4.8,17.1,1770,1229,1321,1336,1358,1542,5082
90043,8905,44461,1910,2608,2896,2587,4.3,5.9,6.5,20.0,1024,1217,1438,886,1391,1458,4374
90044,29348,98990,7202,8123,8644,8706,7.3,8.2,8.7,29.6,4083,4277,4588,3119,3846,4056,13922
90045,6206,41123,1953,1639,1437,3918,4.7,4.0,3.5,15.1,1036,837,804,917,802,633,2968
90046,3500,48170,1232,954,985,535,2.6,2.0,2.0,7.3,499,621,632,733,333,353,1621
90047,11834,52200,3063,3336,3589,2924,5.9,6.4,6.9,22.7,1569,1892,1989,1494,1444,1600,5327
90048,1840,20411,845,478,369,300,4.1,2.3,1.8,9.0,493,305,227,352,173,142,754
90049,6401,35819,1941,1681,1881,1420,5.4,4.7,5.3,17.9,1237,766,934,704,915,947,3055
90052,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
90056,1711,8225,420,467,646,311,5.1,5.7,7.9,20.8,221,133,425,199,334,221,833
90057,10044,47142,2537,3034,3017,2323,5.4,6.4,6.4,21.3,1213,1526,1411,1324,1508,1606,5146
90058,731,3049,220,212,138,240,7.2,7.0,4.5,24.0,139,143,38,81,69,100,321
90059,12445,39471,3374,3340,3883,3101,8.5,8.5,9.8,31.5,1886,1694,1760,1488,1646,2123,6061
90061,8031,28646,2134,2335,2407,1930,7.4,8.2,8.4,28.0,1250,1227,1099,884,1108,1308,3934
90062,7184,33528,1977,1768,1846,2389,5.9,5.3,5.5,21.4,901,856,881,1076,912,965,3584
90063,12316,52008,3020,2947,3700,4249,5.8,5.7,7.1,23.7,1553,1657,1985,1467,1290,1715,5877
90064,4765,25956,1526,1669,1028,734,5.9,6.4,4.0,18.4,712,931,572,814,738,456,2245
90065,7936,44897,2373,2494,1871,1966,5.3,5.6,4.2,17.7,1154,1406,958,1219,1088,913,3840
90066,8589,54142,2905,2222,2131,2368,5.4,4.1,3.9,15.9,1396,1195,1176,1509,1027,955,4229
90067,291,2653,80,76,115,20,3.0,2.9,4.3,11.0,48,30,38,32,46,77,155
90068,2216,21064,783,469,441,654,3.7,2.2,2.1,10.5,521,232,212,262,237,229,904
90069,1233,20045,577,244,306,176,2.9,1.2,1.5,6.2,283,163,181,294,81,125,544
90071,0,313,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
90073,0,1014,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
90077,1839,7868,388,510,482,658,4.9,6.5,6.1,23.4,241,228,173,147,282,309,997
90079,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
90089,90,4164,0,0,0,2567,0.0,0.0,0.0,2.2,0,0,0,0,0,0,68
90094,2470,11891,1314,704,276,210,11.1,5.9,2.3,20.8,461,252,115,853,452,161,1596
90095,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
90201,25850,95134,6261,6651,8285,8131,6.6,7.0,8.7,27.2,2896,3569,4314,3365,3082,3971,12706
90210,3513,19180,576,536,1291,1524,3.0,2.8,6.7,18.3,317,296,689,259,240,602,1643
90211,1825,9208,253,289,840,480,2.7,3.1,9.1,19.8,100,71,495,153,218,345,1025
90212,1443,10881,302,221,596,605,2.8,2.0,5.5,13.3,204,87,194,98,134,402,762
90220,14012,49101,3928,3790,4110,3499,8.0,7.7,8.4,28.5,1680,1858,2142,2248,1932,1968,7169
90221,14108,52119,3039,3363,4898,4569,5.8,6.5,9.4,27.1,1543,1593,2445,1496,1770,2453,6944
90222,9080,33021,2620,2583,2415,2362,7.9,7.8,7.3,27.5,1210,1330,1149,1410,1253,1266,4644
90230,6813,32005,2059,1954,2081,1012,6.4,6.1,6.5,21.3,1116,910,1236,943,1044,845,3190
90232,2926,16352,938,889,805,421,5.7,5.4,4.9,17.9,516,428,509,422,461,296,1328
90240,6036,26026,1506,1704,1723,1838,5.8,6.5,6.6,23.2,636,658,789,870,1046,934,3367
90241,10175,45341,2429,3231,2512,3222,5.4,7.1,5.5,22.4,1025,1704,1313,1404,1527,1199,5079
90242,9294,41685,1649,2389,3273,2967,4.0,5.7,7.9,22.3,945,1289,1470,704,1100,1803,4757
90245,3550,17081,701,1148,1225,634,4.1,6.7,7.2,20.8,278,575,605,423,573,620,1860
90247,9593,47682,2146,3157,2695,2781,4.5,6.6,5.7,20.1,1103,1564,1350,1043,1593,1345,4810
90248,1670,11453,649,371,421,545,5.7,3.2,3.7,14.6,275,100,144,374,271,277,1022
90249,5208,25929,1442,1609,1250,1435,5.6,6.2,4.8,20.1,432,864,646,1010,745,604,2669
90250,24046,96200,6420,6735,7001,6228,6.7,7.0,7.3,25.0,3641,3329,3862,2779,3406,3139,11494
90254,3779,19551,972,1183,915,966,5.0,6.1,4.7,19.3,581,544,433,391,639,482,1735
90255,17925,71654,4178,4503,5665,6240,5.8,6.3,7.9,25.0,1985,2334,3097,2193,2169,2568,8383
90260,7662,33282,1973,1783,2337,2295,5.9,5.4,7.0,23.0,945,903,974,1028,880,1363,3981
90262,17157,66073,4678,4732,5332,4346,7.1,7.2,8.1,26.0,2478,2360,3030,2200,2372,2302,7974
90263,14,1803,0,0,0,969,0.0,0.0,0.0,0.8,0,0,0,0,0,0,9
90265,3142,16652,520,661,1157,1232,3.1,4.0,6.9,18.9,339,404,655,181,257,502,1223
90266,9408,35123,1773,2795,2857,2503,5.0,8.0,8.1,26.8,952,1250,1568,821,1545,1289,4715
90270,6906,24950,1692,1827,2285,1899,6.8,7.3,9.2,27.7,770,898,1418,922,929,867,3166
90272,5562,21298,1376,1538,1732,1241,6.5,7.2,8.1,26.1,636,838,775,740,700,957,2867
90274,5487,24942,880,1735,1737,1754,3.5,7.0,7.0,22.0,467,537,995,413,1198,742,2824
90275,8779,41941,1917,2018,3008,2830,4.6,4.8,7.2,20.9,865,1066,1562,1052,952,1446,4192
90277,6939,36339,1824,1462,2472,1656,5.0,4.0,6.8,19.1,833,753,1140,991,709,1332,3555
90278,10659,42536,3591,3497,2312,1873,8.4,8.2,5.4,25.1,1835,1575,955,1756,1922,1357,5405
90280,22875,92262,5470,5604,7556,7058,5.9,6.1,8.2,24.8,3005,2922,3474,2465,2682,4082,11408
90290,1053,5300,289,265,182,423,5.5,5.0,3.4,19.9,140,95,72,149,170,110,547
90291,3181,25656,911,874,731,902,3.6,3.4,2.8,12.4,492,401,447,419,473,284,1477
90292,2988,24481,1559,709,438,350,6.4,2.9,1.8,12.2,617,490,241,942,219,197,1432
90293,1249,13039,388,453,331,145,3.0,3.5,2.5,9.6,239,273,211,149,180,120,481
90301,7690,37341,2159,2259,1915,2254,5.8,6.0,5.1,20.6,1055,1063,735,1104,1196,1180,3896
90302,6292,29307,1471,1514,2209,1742,5.0,5.2,7.5,21.5,856,763,966,615,751,1243,3131
90303,5733,23370,1516,1839,1608,1238,6.5,7.9,6.9,24.5,818,949,843,698,890,765,2688
90304,6369,25725,1530,1803,1988,1826,5.9,7.0,7.7,24.8,706,1171,1016,824,632,972,2943
90305,2380,14679,532,686,613,817,3.6,4.7,4.2,16.2,189,410,315,343,276,298,1263
90401,315,7480,57,167,62,85,0.8,2.2,0.8,4.2,9,131,54,48,36,8,101
90402,2785,11816,841,725,705,623,7.1,6.1,6.0,23.6,301,455,529,540,270,176,1279
90403,3179,24092,1005,1025,703,707,4.2,4.3,2.9,13.2,553,429,420,452,596,283,1501
90404,3985,23975,1018,1059,1341,1100,4.2,4.4,5.6,16.6,689,537,755,329,522,586,1776
90405,4012,26981,1461,942,947,1038,5.4,3.5,3.5,14.9,760,574,537,701,368,410,1681
90501,9646,42536,2697,2696,2644,2745,6.3,6.3,6.2,22.7,1558,1377,1250,1139,1319,1394,4740
90502,2926,18430,945,792,784,675,5.1,4.3,4.3,15.9,435,355,385,510,437,399,1506
90503,8876,44280,2238,2876,2499,1890,5.1,6.5,5.6,20.0,1325,1687,1277,913,1189,1222,3735
90504,6639,32965,1661,1761,2134,1683,5.0,5.3,6.5,20.1,815,857,1126,846,904,1008,3231
90505,8553,36214,1598,2624,2857,1898,4.4,7.2,7.9,23.6,596,1300,1434,1002,1324,1423,4335
90506,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
90601,6056,30667,1674,1649,1721,1762,5.5,5.4,5.6,19.7,732,731,942,942,918,779,3175
90602,6719,25949,1567,1890,1855,2260,6.0,7.3,7.1,25.9,874,880,1111,693,1010,744,3228
90603,4471,20883,1052,1215,1602,938,5.0,5.8,7.7,21.4,545,633,882,507,582,720,2099
90604,9684,39795,2267,2764,2831,2982,5.7,6.9,7.1,24.3,1073,1265,1541,1194,1499,1290,4848
90605,9459,41427,2488,2610,2945,2646,6.0,6.3,7.1,22.8,1259,1515,1365,1229,1095,1580,4465
90606,6891,31717,1731,2022,1869,2024,5.5,6.4,5.9,21.7,717,903,965,1014,1119,904,3510
90620,10230,47042,2738,2846,3283,2221,5.8,6.0,7.0,21.7,1403,1332,1882,1335,1514,1401,4823
90621,8012,36151,2046,2050,2868,1789,5.7,5.7,7.9,22.2,1001,989,1217,1045,1061,1651,4170
90623,2991,15419,637,825,831,1145,4.1,5.4,5.4,19.4,286,521,465,351,304,366,1356
90630,11656,50170,3065,3106,3542,3151,6.1,6.2,7.1,23.2,1442,1420,1702,1623,1686,1840,6158
90631,14887,69064,3884,3931,4280,4578,5.6,5.7,6.2,21.6,2200,2047,2489,1684,1884,1791,6753
90638,9128,46170,2000,2630,2890,2685,4.3,5.7,6.3,19.8,1194,1529,1376,806,1101,1514,4224
90639,19,1833,0,0,0,970,0.0,0.0,0.0,1.0,0,0,0,0,0,0,19
90640,13043,62294,3523,3556,3693,3652,5.7,5.7,5.9,20.9,1171,1749,2075,2352,1807,1618,6890
90650,23294,101983,7266,5923,6066,6737,7.1,5.8,5.9,22.8,3603,3005,3322,3663,2918,2744,11267
90660,12853,61561,2685,3502,3819,4368,4.4,5.7,6.2,20.9,1320,1830,1881,1365,1672,1938,6430
90670,3714,17556,1124,768,1247,1021,6.4,4.4,7.1,21.2,527,401,596,597,367,651,1988
90680,6961,31102,1521,1877,2587,1809,4.9,6.0,8.3,22.4,803,693,1261,718,1184,1326,3760
90701,3208,16237,821,742,1003,1115,5.1,4.6,6.2,19.8,318,344,583,503,398,420,1669
90703,9127,49334,2091,2484,2958,2444,4.2,5.0,6.0,18.5,1180,1628,1487,911,856,1471,3965
90704,820,3822,189,125,336,262,4.9,3.3,8.8,21.5,58,58,144,131,67,192,432
90706,18465,78352,4640,5220,5355,5249,5.9,6.7,6.8,23.6,2216,2404,2477,2424,2816,2878,9624
90710,6188,27517,1525,1804,1925,1644,5.5,6.6,7.0,22.5,768,694,991,757,1110,934,3298
90712,6917,31552,2176,1893,1720,1974,6.9,6.0,5.5,21.9,1188,1151,903,988,742,817,3207
90713,5603,28439,1829,1559,1520,1204,6.4,5.5,5.3,19.7,1098,870,729,731,689,791,2609
90715,4157,20949,984,1103,1396,1197,4.7,5.3,6.7,19.8,471,525,675,513,578,721,2136
90716,3574,13941,886,1115,981,1104,6.4,8.0,7.0,25.6,283,639,465,603,476,516,1897
90717,4361,21788,1411,1096,956,1381,6.5,5.0,4.4,20.0,589,709,483,822,387,473,2087
90720,5812,23673,1012,1654,2057,1557,4.3,7.0,8.7,24.6,560,762,1216,452,892,841,2718
90723,14273,53286,3169,3601,5056,4399,5.9,6.8,9.5,26.8,1669,1557,2757,1500,2044,2299,6840
90731,13715,63431,3241,4306,3986,3370,5.1,6.8,6.3,21.6,1908,2041,1771,1333,2265,2215,7065
90732,3917,22078,1151,874,1141,1266,5.2,4.0,5.2,17.7,493,633,475,658,241,666,1938
90740,3293,24604,689,959,975,970,2.8,3.9,4.0,13.4,348,509,546,341,450,429,1615
90742,27,469,5,0,10,30,1.1,0.0,2.1,5.8,5,0,10,0,0,0,12
90743,53,434,0,0,25,28,0.0,0.0,5.8,12.2,0,0,25,0,0,0,28
90744,15200,54277,3794,4392,4307,4134,7.0,8.1,7.9,28.0,2102,2339,2577,1692,2053,1730,6539
90745,11794,58735,2767,2705,3769,4344,4.7,4.6,6.4,20.1,1480,1377,1955,1287,1328,1814,5723
90746,4887,27643,864,1390,1637,1561,3.1,5.0,5.9,17.7,655,596,735,209,794,902,2469
90747,0,25,0,0,0,25,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
90755,2277,11764,766,494,761,462,6.5,4.2,6.5,19.4,538,282,334,228,212,427,1061
90802,5186,40012,1389,1111,1590,1832,3.5,2.8,4.0,13.0,605,651,854,784,460,736,2661
90803,3309,31659,1087,623,843,1410,3.4,2.0,2.7,10.5,582,287,397,505,336,446,1485
90804,6574,37299,2046,1675,1992,1931,5.5,4.5,5.3,17.6,966,941,1098,1080,734,894,3044
90805,24626,96515,6728,6345,6863,7666,7.0,6.6,7.1,25.5,3190,3243,4024,3538,3102,2839,12055
90806,9445,40688,2461,2622,2931,2541,6.0,6.4,7.2,23.2,1408,1694,1424,1053,928,1507,4104
90807,6452,33153,1569,1615,2135,1983,4.7,4.9,6.4,19.5,904,772,1117,665,843,1018,3061
90808,8805,39698,2092,2566,2748,2110,5.3,6.5,6.9,22.2,1014,1422,1620,1078,1144,1128,4062
90810,8040,36306,1633,2318,2384,2874,4.5,6.4,6.6,22.1,848,1130,1348,785,1188,1036,3809
90813,13633,53647,3175,3818,4355,4059,5.9,7.1,8.1,25.4,1548,1975,2519,1627,1843,1836,6563
90814,3814,20723,1308,1078,934,683,6.3,5.2,4.5,18.4,566,522,511,742,556,423,1944
90815,8301,42759,2467,1827,2629,3658,5.8,4.3,6.1,19.4,1284,1021,1290,1183,806,1339,3846
90822,0,125,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
90831,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
90840,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
91001,7394,36420,2012,1953,2304,1735,5.5,5.4,6.3,20.3,990,868,1213,1022,1085,1091,3863
91006,6789,31986,1270,2014,2376,1640,4.0,6.3,7.4,21.2,538,1046,1007,732,968,1369,3610
91007,6498,33367,1407,1577,2487,1824,4.2,4.7,7.5,19.5,557,725,1277,850,852,1210,3447
91008,90,744,28,29,27,22,3.8,3.9,3.6,12.1,6,17,16,22,12,11,46
91010,4747,26825,1321,1132,1408,1432,4.9,4.2,5.2,17.7,824,662,876,497,470,532,1973
