Zipcode,Land Area sq meters,Water Area sq meters,Land Area sq miles,Water Area sq miles,Latitude,Longitude,Population,Population Density per sq mile
89060,"1,164,029,185","83,993",449.434,0.032,36.391556,−116.0575681,10692.0,23.789922435774773
89061,"165,855,694","10,631",64.037,0.004,36.0701105,−115.9062487,5537.0,86.46563705357839
89439,"42,115,079","336,966",16.261,0.13,39.5233524,−119.9903835,1244.0,76.5020601439026
90001,"8,495,419",0,3.28,0.0,33.9736648,−118.2490388,58974.0,17979.87804878049
90002,"7,750,658",0,2.993,0.0,33.9489868,−118.2467796,53402.0,17842.298696959573
90003,"9,389,890",0,3.625,0.0,33.9640773,−118.2736836,74117.0,20446.068965517243
90004,"7,901,466",0,3.051,0.0,34.0762187,−118.3109634,61105.0,20027.859718125204
90005,"3,055,752",0,1.18,0.0,34.0593736,−118.3089617,38885.0,32953.38983050847
90006,"5,008,238",0,1.934,0.0,34.0480942,−118.2940452,58560.0,30279.214064115822
90007,"6,294,012",0,2.43,0.0,34.0281645,−118.2848289,42380.0,17440.329218106996
90008,"7,493,792","68,544",2.893,0.026,34.0107237,−118.3428833,31900.0,11026.61596958175
90010,"1,011,326",0,0.39,0.0,34.0609873,−118.2998843,4108.0,10533.333333333332
90011,"11,108,402",515,4.289,0.0,34.00709,−118.2586805,110750.0,25821.86989974353
90012,"9,422,176","128,581",3.638,0.05,34.0659747,−118.2386422,37268.0,10244.090159428257
90013,"1,826,725","27,070",0.705,0.01,34.0446854,−118.2400221,13009.0,18452.482269503547
90014,"775,392",0,0.299,0.0,34.0430056,−118.2518996,9126.0,30521.739130434784
90015,"4,385,528",0,1.693,0.0,34.0393093,−118.2662548,23900.0,14116.952155936207
90016,"9,316,180","16,402",3.597,0.006,34.0283315,−118.3543375,46340.0,12882.9580205727
90017,"1,831,103",0,0.707,0.0,34.0530983,−118.2645052,27832.0,39366.33663366337
90018,"7,771,932",0,3.001,0.0,34.028632,−118.3173467,52444.0,17475.508163945353
90019,"10,024,972","7,710",3.871,0.003,34.0498412,−118.3384601,62816.0,16227.331438904675
90020,"2,879,823",0,1.112,0.0,34.0663822,−118.3098315,39366.0,35401.07913669064
90021,"5,120,416","29,156",1.977,0.011,34.029036,−118.2378702,3285.0,1661.6084977238238
90022,"11,453,822","11,013",4.422,0.004,34.0237282,−118.1562745,66168.0,14963.36499321574
90023,"11,181,971","142,667",4.317,0.055,34.0225015,−118.1996129,46517.0,10775.306926106092
90024,"7,702,301",0,2.974,0.0,34.0656447,−118.4352837,52069.0,17508.069939475452
90025,"6,606,767","3,875",2.551,0.001,34.0454209,−118.4458730,47438.0,18595.84476675813
90026,"10,436,964","74,935",4.03,0.029,34.0789913,−118.2638036,67657.0,16788.33746898263
90027,"21,042,927","269,098",8.125,0.104,34.1276025,−118.2963810,45996.0,5661.046153846154
90028,"3,912,391",0,1.511,0.0,34.0998114,−118.3268365,31385.0,20771.012574454006
90029,"3,564,133",0,1.376,0.0,34.0898749,−118.2946307,36126.0,26254.360465116282
90031,"9,064,228","168,754",3.5,0.065,34.0841971,−118.2085674,39497.0,11284.857142857143
90032,"12,470,642","47,432",4.815,0.018,34.0782936,−118.1857852,47857.0,9939.14849428868
90033,"8,487,878","92,117",3.277,0.036,34.0503802,−118.2119912,49695.0,15164.784864205065
90034,"8,031,974","23,525",3.101,0.009,34.0305777,−118.3996127,56416.0,18192.84101902612
90035,"5,894,449",0,2.276,0.0,34.0514263,−118.3857654,27725.0,12181.45869947276
90036,"6,360,336","3,300",2.456,0.001,34.0702908,−118.3491910,38111.0,15517.508143322475
90037,"7,478,860",0,2.888,0.0,34.0026603,−118.2875072,67377.0,23329.98614958449
90038,"4,009,023","3,325",1.548,0.001,34.0880175,−118.3271685,28592.0,18470.284237726097
90039,"9,426,953","476,421",3.64,0.184,34.1118846,−118.2610325,29966.0,8232.417582417582
90040,"14,421,599","3,306",5.568,0.001,33.9945234,−118.1499518,12363.0,2220.366379310345
90041,"9,308,255","30,513",3.594,0.012,34.1374122,−118.2076072,29888.0,8316.082359488037
90042,"11,704,859","84,279",4.519,0.033,34.1147083,−118.1920977,60509.0,13389.909271962822
90043,"10,624,108","2,585",4.102,0.001,33.9885046,−118.3363581,46358.0,11301.316431009263
90044,"13,214,543",0,5.102,0.0,33.9526526,−118.2920125,99980.0,19596.236769894156
90045,"27,865,944",779,10.759,0.0,33.9423871,−118.4160617,39795.0,3698.7638256343525
90046,"14,674,077","3,009",5.666,0.001,34.1078099,−118.3622474,49828.0,8794.2110836569
90047,"12,190,303",472,4.707,0.0,33.9554301,−118.3095685,51057.0,10847.036328871893
90048,"4,903,991",0,1.893,0.0,34.0728769,−118.3726545,21766.0,11498.151082937136
90049,"38,778,176","1,359",14.972,0.001,34.0925404,−118.4910639,36610.0,2445.2310980496927
90056,"5,847,234",0,2.258,0.0,33.9935808,−118.3688386,8058.0,3568.6448184233836
90057,"2,279,154","34,211",0.88,0.013,34.0617348,−118.2767572,49771.0,56557.954545454544
90058,"14,986,630","442,625",5.786,0.171,34.0028436,−118.2163997,3003.0,519.0114068441065
90059,"8,188,713","42,487",3.162,0.016,33.9274687,−118.2487959,42311.0,13381.087919038584
90061,"7,027,840","1,362",2.713,0.001,33.9212798,−118.2741865,28755.0,10598.9679321784
90062,"4,942,347",0,1.908,0.0,34.0034933,−118.3090927,35908.0,18819.706498951782
90063,"8,507,622",0,3.285,0.0,34.0452484,−118.1857803,53846.0,16391.476407914764
90064,"9,646,305","3,034",3.724,0.001,34.0353095,−118.4264862,25988.0,6978.517722878625
90065,"14,219,322","183,706",5.49,0.071,34.1095946,−118.2286887,47389.0,8631.876138433516
90066,"12,453,732","143,549",4.808,0.055,34.0020279,−118.4306565,58851.0,12240.224625623961
90067,"1,114,110",0,0.43,0.0,34.0564373,−118.4136903,2560.0,5953.488372093023
90068,"20,729,770","448,801",8.004,0.173,34.1241792,−118.3273508,21590.0,2697.401299350325
90069,"5,573,187",0,2.152,0.0,34.0939535,−118.3815305,20035.0,9309.944237918215
90071,"349,113",0,0.135,0.0,34.0523793,−118.2552091,152.0,1125.9259259259259
90073,"1,389,351",0,0.536,0.0,34.0573301,−118.4595342,962.0,1794.776119402985
90077,"18,807,577","350,034",7.262,0.135,34.108023,−118.4569641,8328.0,1146.7915174882953
90079,"25,585",0,0.01,0.0,34.040587,−118.2554035,0.0,0.0
90089,"844,417",0,0.326,0.0,34.0215432,−118.2855741,3740.0,11472.39263803681
90094,"1,850,548","7,324",0.715,0.003,33.9753066,−118.4187082,9065.0,12678.32167832168
90095,"1,035,082",0,0.4,0.0,34.0711826,−118.4434044,0.0,0.0
90201,"15,509,600","550,228",5.988,0.212,33.9703429,−118.1713681,100512.0,16785.571142284567
90210,"27,838,093","139,467",10.748,0.054,34.1005166,−118.4146299,19229.0,1789.0770375883887
90211,"1,813,406",0,0.7,0.0,34.0649562,−118.3829813,9211.0,13158.57142857143
90212,"2,451,840",0,0.947,0.0,34.0621605,−118.4018817,11878.0,12542.766631467794
90220,"17,917,669","156,703",6.918,0.061,33.8797798,−118.2296785,51042.0,7378.143972246314
90221,"13,937,517","190,724",5.381,0.074,33.8858107,−118.2064586,50928.0,9464.41181936443
90222,"7,009,949","28,429",2.707,0.011,33.9122401,−118.2376069,34547.0,12762.098263760621
90230,"11,758,227","103,577",4.54,0.04,33.9978617,−118.3936166,33135.0,7298.458149779735
90232,"5,600,908","37,209",2.163,0.014,34.0193227,−118.3919023,14921.0,6898.28941285252
90240,"7,793,489","180,345",3.009,0.07,33.9557293,−118.1183459,26801.0,8906.945829179129
90241,"12,630,265","147,567",4.877,0.057,33.9405817,−118.1294723,42759.0,8767.480008201765
90242,"11,696,600","50,193",4.516,0.019,33.9217932,−118.1405877,41703.0,9234.499557130204
90245,"13,850,727","4,084",5.348,0.002,33.9171449,−118.4015540,16575.0,3099.289454001496
90247,"9,729,237","10,554",3.756,0.004,33.891769,−118.2970060,47507.0,12648.296059637913
90248,"12,309,183","170,404",4.753,0.066,33.8783395,−118.2841003,11425.0,2403.7450031559015
90249,"7,696,621","88,656",2.972,0.034,33.90139,−118.3156967,26192.0,8812.920592193808
90250,"17,529,205","15,608",6.768,0.006,33.9136508,−118.3509460,95115.0,14053.63475177305
90254,"3,702,205","1,551,783",1.429,0.599,33.8642586,−118.3993032,19147.0,13398.88033589923
90255,"9,650,344","8,354",3.726,0.003,33.9792475,−118.2174380,74390.0,19965.110037573806
90260,"6,398,470","39,070",2.47,0.015,33.8885344,−118.3495638,34540.0,13983.805668016194
90262,"12,359,842",0,4.772,0.0,33.9238313,−118.2013519,69369.0,14536.672254819781
90263,"605,685",0,0.234,0.0,34.0392805,−118.7081459,1813.0,7747.863247863247
90265,"287,514,072","18,899,707",111.01,7.297,34.0702448,−118.8510422,18028.0,162.39978380326096
90266,"10,485,104","2,857,999",4.048,1.103,33.8917865,−118.4028145,35064.0,8662.05533596838
90270,"3,080,014",0,1.189,0.0,33.9885572,−118.1876880,27127.0,22814.970563498737
90272,"61,670,603","1,423,894",23.811,0.55,34.0925672,−118.5343628,21848.0,917.5591113350972
90274,"31,010,576","2,606,409",11.973,1.006,33.7801,−118.3724118,24541.0,2049.695147415017
90275,"35,048,238","8,379,635",13.532,3.235,33.7531341,−118.3679729,41731.0,3083.875258646172
90277,"9,245,270","3,537,592",3.57,1.366,33.8300058,−118.3871239,34494.0,9662.18487394958
90278,"9,507,745",0,3.671,0.0,33.8736054,−118.3702644,40090.0,10920.730046308909
90280,"19,113,822","426,895",7.38,0.165,33.9441585,−118.1927614,94905.0,12859.756097560976
90290,"48,498,335","24,096",18.725,0.009,34.1077521,−118.6162183,5200.0,277.7036048064085
90291,"6,383,459","869,948",2.465,0.336,33.9933964,−118.4651932,27556.0,11178.904665314401
90292,"5,428,684","2,857,097",2.096,1.103,33.9760775,−118.4520658,23931.0,11417.461832061068
90293,"7,096,785","3,999,384",2.74,1.544,33.9473054,−118.4398414,12915.0,4713.503649635036
90301,"6,426,469",0,2.481,0.0,33.9564643,−118.3586812,39320.0,15848.4482063684
90302,"4,955,207","2,993",1.913,0.001,33.97535,−118.3560895,29367.0,15351.280710925248
90303,"5,026,333","14,318",1.941,0.006,33.9362911,−118.3326393,23961.0,12344.667697063369
90304,"4,246,478",0,1.64,0.0,33.9373602,−118.3587951,26584.0,16209.756097560976
90305,"6,769,580","59,579",2.614,0.023,33.9581341,−118.3309045,15373.0,5881.025248661056
90401,"1,954,199",0,0.755,0.0,34.0160989,−118.4924539,7079.0,9376.15894039735
90402,"5,289,316","326,896",2.042,0.126,34.034666,−118.5040391,11637.0,5698.824681684623
90403,"3,656,079","247,223",1.412,0.095,34.0307553,−118.4921007,24359.0,17251.4164305949
90404,"5,104,890",0,1.971,0.0,34.0266494,−118.4738350,23107.0,11723.490613901573
90405,"7,202,324","893,596",2.781,0.345,34.011057,−118.4721524,27509.0,9891.765551959727
90501,"14,724,154","8,095",5.685,0.003,33.8337437,−118.3140219,42298.0,7440.281442392261
90502,"5,799,107","33,313",2.239,0.013,33.8331813,−118.2920619,18527.0,8274.676194729791
90503,"13,640,983","4,355",5.267,0.002,33.8394633,−118.3536989,44354.0,8421.112587810898
90504,"11,422,484","44,704",4.41,0.017,33.8672804,−118.3316422,32703.0,7415.646258503401
90505,"15,155,933","29,696",5.852,0.011,33.8078823,−118.3479566,36820.0,6291.866028708134
90506,"403,869","15,634",0.156,0.006,33.8846956,−118.3299980,0.0,0.0
90601,"27,458,654","367,099",10.602,0.142,34.0079366,−118.0303243,30623.0,2888.417279758536
90602,"9,717,095","5,673",3.752,0.002,33.9742425,−118.0223302,25426.0,6776.652452025587
90603,"8,193,153",0,3.163,0.0,33.9448663,−117.9923377,20780.0,6569.712298450838
90604,"10,900,939","9,677",4.209,0.004,33.9276906,−118.0138277,40545.0,9632.929436920886
90605,"16,540,582","24,843",6.386,0.01,33.9524438,−118.0213998,41162.0,6445.662386470404
90606,"9,825,251","414,858",3.794,0.16,33.977272,−118.0663633,32631.0,8600.685292567212
90620,"16,492,874","23,818",6.368,0.009,33.8452232,−118.0152918,46228.0,7259.422110552763
90621,"10,857,013","41,610",4.192,0.016,33.8742236,−117.9933677,35448.0,8456.106870229007
90623,"4,698,566","60,099",1.814,0.023,33.8506159,−118.0395647,15624.0,8613.009922822492
90630,"15,929,581","54,123",6.15,0.021,33.8184768,−118.0383074,49378.0,8028.943089430893
90631,"36,194,538","20,609",13.975,0.008,33.9427081,−117.9524832,68748.0,4919.355992844365
90638,"20,073,025","44,394",7.75,0.017,33.9020453,−118.0089608,48704.0,6284.387096774193
90640,"21,555,256","46,656",8.323,0.018,34.0154437,−118.1110124,62873.0,7554.127117625856
90650,"25,647,340","98,406",9.902,0.038,33.9077898,−118.0824874,104524.0,10555.847303575036
90660,"20,073,708","1,134,661",7.751,0.438,33.9895238,−118.0892952,62507.0,8064.3787898335695
90670,"21,544,757","101,085",8.318,0.039,33.9335648,−118.0626113,16410.0,1972.8300072132724
90680,"6,609,687",0,2.552,0.0,33.8011398,−117.9953266,30807.0,12071.708463949843
90701,"4,217,647",0,1.628,0.0,33.8676054,−118.0806306,16500.0,10135.135135135135
90703,"22,658,218","340,320",8.748,0.131,33.867745,−118.0694710,49633.0,5673.639689071788
90704,"197,068,550","567,992,732",76.089,219.303,33.3993247,−118.4353285,4201.0,55.21166002970206
90706,"15,812,530","129,197",6.105,0.05,33.8878214,−118.1272504,76339.0,12504.340704340704
90710,"6,046,215","1,884",2.334,0.001,33.7989054,−118.3002391,28566.0,12239.074550128535
90712,"10,916,832","53,623",4.215,0.021,33.849034,−118.1479023,30773.0,7300.830367734283
90713,"8,981,676",0,3.468,0.0,33.8480221,−118.1127458,27905.0,8046.424452133795
90715,"4,389,074","109,794",1.695,0.042,33.8410269,−118.0791411,20505.0,12097.345132743363
90716,"2,386,068",0,0.921,0.0,33.8304734,−118.0729587,14170.0,15385.450597176981
90717,"5,187,866",0,2.003,0.0,33.7934561,−118.3170541,20919.0,10443.83424862706
90720,"15,743,998","161,830",6.079,0.062,33.7950124,−118.0626915,22998.0,3783.1880243461096
90723,"12,295,470","283,684",4.747,0.11,33.8988835,−118.1666294,53949.0,11364.862018116706
90731,"23,893,194","14,359,827",9.225,5.544,33.7323531,−118.2781507,60813.0,6592.195121951219
90732,"9,263,474","2,122,046",3.577,0.819,33.7373213,−118.3134334,22561.0,6307.240704500979
90740,"28,775,784","2,522,674",11.11,0.974,33.7543338,−118.0732668,24288.0,2186.138613861386
90742,"446,280","945,469",0.172,0.365,33.7210155,−118.0761703,617.0,3587.2093023255816
90743,"301,422","1,254,135",0.116,0.484,33.7295303,−118.0924360,256.0,2206.8965517241377
90744,"23,018,850","2,752,171",8.888,1.063,33.7772144,−118.2596038,56450.0,6351.260126012601
90745,"21,304,966","241,841",8.226,0.093,33.8202678,−118.2641249,55567.0,6755.044979333818
90746,"14,982,262","137,288",5.785,0.053,33.8592309,−118.2523119,27458.0,4746.413137424373
90747,"55,484",0,0.021,0.0,33.8637854,−118.2513536,0.0,0.0
90755,"5,627,499","4,445",2.173,0.002,33.8031665,−118.1671318,11458.0,5272.89461573861
90802,"16,836,869","19,351,763",6.501,7.472,33.7512788,−118.2068203,39165.0,6024.457775726811
90803,"10,517,481","11,946,690",4.061,4.613,33.7541911,−118.1323626,32241.0,7939.177542477222
90804,"5,591,682","2,503",2.159,0.001,33.7816856,−118.1483650,38151.0,17670.680870773507
90805,"19,216,007","426,897",7.419,0.165,33.8646171,−118.1805667,95094.0,12817.630408410838
90806,"12,656,291","218,584",4.887,0.084,33.8088695,−118.1784855,41280.0,8446.899938612647
90807,"11,449,952","37,428",4.421,0.014,33.8302054,−118.1811814,32699.0,7396.290432028953
90808,"17,787,461","259,197",6.868,0.1,33.8239432,−118.1113355,39602.0,5766.161910308678
90810,"16,936,922","575,190",6.539,0.222,33.8198411,−118.2223784,36657.0,5605.9030432787895
90813,"7,975,878","242,361",3.08,0.094,33.7822587,−118.1967927,56726.0,18417.532467532466
90814,"3,451,793",0,1.333,0.0,33.7715806,−118.1433606,18714.0,14039.00975243811
90815,"18,269,698","512,747",7.054,0.198,33.7950672,−118.1157237,41854.0,5933.371136943578
90822,"420,822",0,0.162,0.0,33.7784357,−118.1186480,133.0,820.9876543209876
90831,"58,414",0,0.023,0.0,33.7683078,−118.2007622,0.0,0.0
91001,"21,393,345","91,219",8.26,0.035,34.1944893,−118.1382630,36697.0,4442.73607748184
91006,"16,652,749","488,299",6.43,0.189,34.135159,−118.0266852,32526.0,5058.475894245724
91007,"14,258,935","13,098",5.505,0.005,34.1282838,−118.0477319,33827.0,6144.777475022706
91008,"4,986,907","3,236",1.925,0.001,34.1531592,−117.9688184,1079.0,560.5194805194805
91010,"16,656,660","113,263",6.431,0.044,34.1410125,−117.9586611,26516.0,4123.153475353755
91011,"29,166,369","52,803",11.261,0.02,34.2179351,−118.2022546,20174.0,1791.4927626320932
91016,"21,957,683","125,531",8.478,0.048,34.1527996,−118.0004821,41582.0,4904.694503420618
91020,"1,860,873",0,0.718,0.0,34.2113702,−118.2306878,8785.0,12235.376044568246
91024,"9,051,030","10,258",3.495,0.004,34.1752764,−118.0460166,10829.0,3098.4263233190272
91030,"8,887,635","35,008",3.432,0.014,34.1089567,−118.1566154,25478.0,7423.659673659674
91040,"21,548,830","63,248",8.32,0.024,34.2576958,−118.3384551,20606.0,2476.6826923076924
91042,"128,977,026","40,742",49.798,0.016,34.3155031,−118.2648469,26617.0,534.4993774850395
91046,"13,141",0,0.005,0.0,34.2116769,−118.2409217,191.0,38200.0
91101,"3,289,962",0,1.27,0.0,34.1467715,−118.1389217,21920.0,17259.84251968504
91103,"11,886,234","55,781",4.589,0.022,34.1673607,−118.1641443,26837.0,5848.115057746785
91104,"9,766,256","11,657",3.771,0.005,34.1653555,−118.1237514,37784.0,10019.62344205781
91105,"10,866,792","85,275",4.196,0.033,34.1394598,−118.1666485,12648.0,3014.2993326978076
91106,"7,036,428","3,397",2.717,0.001,34.1394024,−118.1286585,25205.0,9276.775855723225
91107,"21,906,577","167,967",8.458,0.065,34.1590073,−118.0873527,33481.0,3958.5008276188223
91108,"9,813,448","18,177",3.789,0.007,34.1223718,−118.1142336,13175.0,3477.170757455793
91201,"6,172,356","26,905",2.383,0.01,34.1705102,−118.2894632,22786.0,9561.89676877885
91202,"12,746,450","21,519",4.921,0.008,34.1833023,−118.2644781,23399.0,4754.927860191018
91203,"2,273,702","29,918",0.878,0.012,34.1533375,−118.2629738,15794.0,17988.610478359908
91204,"2,704,483",0,1.044,0.0,34.135557,−118.2609400,18950.0,18151.340996168583
91205,"4,908,651",853,1.895,0.0,34.1365802,−118.2458387,37549.0,19814.775725593667
91206,"14,927,682","38,612",5.764,0.015,34.1603591,−118.2137690,33781.0,5860.687022900763
91207,"4,120,014","45,197",1.591,0.017,34.1679391,−118.2442410,11318.0,7113.764927718416
