Zipcode,Population,Per Capita Income,Poverty Count,Poverty Rate,Insurance coverage status,Coverage Rate
89060,12198.0,31138.0,2183.0,17.896376455156584,11857.0,97.20445974749958
89061,7529.0,33771.0,486.0,6.455040510027892,7529.0,100.0
89439,1639.0,65281.0,93.0,5.674191580231849,1639.0,100.0
90001,57652.0,17994.0,12186.0,21.137167834593768,57639.0,99.97745091237077
90002,53108.0,18262.0,12740.0,23.988852903517362,53100.0,99.98493635610454
90003,75024.0,17057.0,20142.0,26.847408829174665,75006.0,99.97600767754318
90004,58833.0,41302.0,11321.0,19.242601941087486,58765.0,99.88441860860401
90005,37754.0,33736.0,8906.0,23.58955342480267,37655.0,99.73777612968162
90006,56628.0,23177.0,12891.0,22.764356855265945,56075.0,99.02345129617856
90007,41004.0,18966.0,13598.0,33.1626182811433,40995.0,99.97805092186128
90008,33076.0,37574.0,6033.0,18.239811343572377,33053.0,99.93046317571653
90010,4185.0,71102.0,412.0,9.84468339307049,4185.0,100.0
90011,106042.0,17098.0,28613.0,26.982704965956884,105900.0,99.86609079421362
90012,38430.0,37880.0,7144.0,18.589643507676296,29197.0,75.97449908925319
90013,14587.0,44248.0,6658.0,45.64338109275382,14583.0,99.97257832316446
90014,9273.0,48973.0,3297.0,35.55483662245228,9255.0,99.80588806211583
90015,25554.0,49903.0,6479.0,25.354151991860373,25545.0,99.96478046489786
90016,47309.0,36314.0,7232.0,15.286731911475618,47255.0,99.8858568137141
90017,28754.0,33818.0,10236.0,35.598525422549905,28707.0,99.8365444807679
90018,49898.0,28004.0,10850.0,21.7443584913223,49276.0,98.75345705238686
90019,59410.0,40613.0,9859.0,16.59484935196095,58737.0,98.86719407507154
90020,38400.0,41095.0,6906.0,17.984375,38396.0,99.98958333333333
90021,2781.0,45677.0,1121.0,40.30924128011507,2781.0,100.0
90022,64147.0,22013.0,10624.0,16.561959249848005,64115.0,99.95011458057274
90023,44558.0,18155.0,10162.0,22.806230082140132,44403.0,99.6521387854033
90024,50392.0,55345.0,9565.0,18.98118749007779,50384.0,99.98412446420066
90025,44429.0,75989.0,5221.0,11.751333588421977,44168.0,99.41254585968625
90026,64769.0,47426.0,11501.0,17.756951628093688,64468.0,99.53527150334264
90027,45764.0,63275.0,6177.0,13.49750895900708,45390.0,99.18276374442793
90028,30982.0,47369.0,6020.0,19.430637144148214,30859.0,99.60299528758634
90029,34649.0,31353.0,7588.0,21.89962192271061,34129.0,98.49923518716268
90031,37457.0,30141.0,6701.0,17.889847024588196,37063.0,98.94812718583977
