ZIP Code,Population Under 18 years,Total Population,Percent Population Under 18 years,Female Population Under 18 years,Male Population Under 18 years
89010,71,461,15.4,36,35
89019,146,2312,6.3,109,37
89060,1917,12198,15.7,1343,574
89061,971,7529,12.9,308,663
89439,192,1639,11.7,69,123
90001,17012,57652,29.5,8721,8291
90002,15282,53108,28.8,7390,7892
90003,23588,75024,31.4,10560,13028
90004,10842,58833,18.4,4922,5920
90005,6565,37754,17.4,3074,3491
90006,11210,56628,19.8,6064,5146
90007,5377,41004,13.1,2723,2654
90008,5777,33076,17.5,3145,2632
90010,180,4185,4.3,115,65
90011,30173,106042,28.5,14284,15889
90012,3144,38430,8.2,1186,1958
90013,341,14587,2.3,183,158
90014,426,9273,4.6,139,287
90015,3477,25554,13.6,1750,1727
90016,9984,47309,21.1,4383,5601
90017,5743,28754,20.0,2583,3160
90018,10479,49898,21.0,4800,5679
90019,10146,59410,17.1,4981,5165
90020,6479,38400,16.9,3120,3359
90021,369,2781,13.3,172,197
90022,15403,64147,24.0,7296,8107
90023,13155,44558,29.5,6235,6920
90024,3407,50392,6.8,1927,1480
90025,4744,44429,10.7,1909,2835
90026,9862,64769,15.2,4837,5025
90027,5519,45764,12.1,2645,2874
90028,2256,30982,7.3,1431,825
90029,5346,34649,15.4,2738,2608
90031,7147,37457,19.1,3516,3631
90032,8955,44881,20.0,3897,5058
90033,12086,47655,25.4,5959,6127
90034,7411,55061,13.5,3933,3478
90035,5421,26595,20.4,2723,2698
90036,5389,37713,14.3,2344,3045
90037,18249,69064,26.4,9249,9000
90038,3527,27979,12.6,1645,1882
90039,3674,28244,13.0,1701,1973
90040,2510,11839,21.2,1285,1225
90041,5107,28321,18.0,2274,2833
90042,10131,59151,17.1,5082,5049
90043,8905,44461,20.0,4374,4531
90044,29348,98990,29.6,13922,15426
90045,6206,41123,15.1,2968,3238
90046,3500,48170,7.3,1621,1879
90047,11834,52200,22.7,5327,6507
90048,1840,20411,9.0,754,1086
90049,6401,35819,17.9,3055,3346
90052,0,0,,0,0
90056,1711,8225,20.8,833,878
90057,10044,47142,21.3,5146,4898
90058,731,3049,24.0,321,410
90059,12445,39471,31.5,6061,6384
90061,8031,28646,28.0,3934,4097
90062,7184,33528,21.4,3584,3600
90063,12316,52008,23.7,5877,6439
90064,4765,25956,18.4,2245,2520
90065,7936,44897,17.7,3840,4096
90066,8589,54142,15.9,4229,4360
90067,291,2653,11.0,155,136
90068,2216,21064,10.5,904,1312
90069,1233,20045,6.2,544,689
90071,0,313,0.0,0,0
90073,0,1014,0.0,0,0
90077,1839,7868,23.4,997,842
90079,0,0,,0,0
90089,90,4164,2.2,68,22
90094,2470,11891,20.8,1596,874
90095,0,0,,0,0
90201,25850,95134,27.2,12706,13144
90210,3513,19180,18.3,1643,1870
90211,1825,9208,19.8,1025,800
90212,1443,10881,13.3,762,681
90220,14012,49101,28.5,7169,6843
90221,14108,52119,27.1,6944,7164
90222,9080,33021,27.5,4644,4436
90230,6813,32005,21.3,3190,3623
90232,2926,16352,17.9,1328,1598
90240,6036,26026,23.2,3367,2669
90241,10175,45341,22.4,5079,5096
90242,9294,41685,22.3,4757,4537
90245,3550,17081,20.8,1860,1690
90247,9593,47682,20.1,4810,4783
90248,1670,11453,14.6,1022,648
90249,5208,25929,20.1,2669,2539
90250,24046,96200,25.0,11494,12552
90254,3779,19551,19.3,1735,2044
90255,17925,71654,25.0,8383,9542
90260,7662,33282,23.0,3981,3681
90262,17157,66073,26.0,7974,9183
90263,14,1803,0.8,9,5
90265,3142,16652,18.9,1223,1919
90266,9408,35123,26.8,4715,4693
90270,6906,24950,27.7,3166,3740
90272,5562,21298,26.1,2867,2695
90274,5487,24942,22.0,2824,2663
90275,8779,41941,20.9,4192,4587
90277,6939,36339,19.1,3555,3384
90278,10659,42536,25.1,5405,5254
90280,22875,92262,24.8,11408,11467
90290,1053,5300,19.9,547,506
90291,3181,25656,12.4,1477,1704
90292,2988,24481,12.2,1432,1556
90293,1249,13039,9.6,481,768
90301,7690,37341,20.6,3896,3794
90302,6292,29307,21.5,3131,3161
90303,5733,23370,24.5,2688,3045
90304,6369,25725,24.8,2943,3426
90305,2380,14679,16.2,1263,1117
90401,315,7480,4.2,101,214
90402,2785,11816,23.6,1279,1506
90403,3179,24092,13.2,1501,1678
90404,3985,23975,16.6,1776,2209
90405,4012,26981,14.9,1681,2331
90501,9646,42536,22.7,4740,4906
90502,2926,18430,15.9,1506,1420
90503,8876,44280,20.0,3735,5141
90504,6639,32965,20.1,3231,3408
90505,8553,36214,23.6,4335,4218
90506,0,0,,0,0
90601,6056,30667,19.7,3175,2881
90602,6719,25949,25.9,3228,3491
90603,4471,20883,21.4,2099,2372
90604,9684,39795,24.3,4848,4836
90605,9459,41427,22.8,4465,4994
90606,6891,31717,21.7,3510,3381
90620,10230,47042,21.7,4823,5407
90621,8012,36151,22.2,4170,3842
90623,2991,15419,19.4,1356,1635
90630,11656,50170,23.2,6158,5498
90631,14887,69064,21.6,6753,8134
90638,9128,46170,19.8,4224,4904
90639,19,1833,1.0,19,0
90640,13043,62294,20.9,6890,6153
90650,23294,101983,22.8,11267,12027
90660,12853,61561,20.9,6430,6423
90670,3714,17556,21.2,1988,1726
90680,6961,31102,22.4,3760,3201
90701,3208,16237,19.8,1669,1539
90703,9127,49334,18.5,3965,5162
90704,820,3822,21.5,432,388
90706,18465,78352,23.6,9624,8841
90710,6188,27517,22.5,3298,2890
90712,6917,31552,21.9,3207,3710
90713,5603,28439,19.7,2609,2994
90715,4157,20949,19.8,2136,2021
90716,3574,13941,25.6,1897,1677
90717,4361,21788,20.0,2087,2274
90720,5812,23673,24.6,2718,3094
90723,14273,53286,26.8,6840,7433
90731,13715,63431,21.6,7065,6650
90732,3917,22078,17.7,1938,1979
90740,3293,24604,13.4,1615,1678
90742,27,469,5.8,12,15
90743,53,434,12.2,28,25
90744,15200,54277,28.0,6539,8661
90745,11794,58735,20.1,5723,6071
90746,4887,27643,17.7,2469,2418
90747,0,25,0.0,0,0
90755,2277,11764,19.4,1061,1216
90802,5186,40012,13.0,2661,2525
90803,3309,31659,10.5,1485,1824
90804,6574,37299,17.6,3044,3530
90805,24626,96515,25.5,12055,12571
90806,9445,40688,23.2,4104,5341
90807,6452,33153,19.5,3061,3391
90808,8805,39698,22.2,4062,4743
90810,8040,36306,22.1,3809,4231
90813,13633,53647,25.4,6563,7070
90814,3814,20723,18.4,1944,1870
90815,8301,42759,19.4,3846,4455
90822,0,125,0.0,0,0
90831,0,0,,0,0
90840,0,0,,0,0
91001,7394,36420,20.3,3863,3531
91006,6789,31986,21.2,3610,3179
91007,6498,33367,19.5,3447,3051
91008,90,744,12.1,46,44
91010,4747,26825,17.7,1973,2774
91011,5674,20389,27.8,2982,2692
91016,9276,41822,22.2,4261,5015
91020,1843,7509,24.5,987,856
91024,2033,11151,18.2,1000,1033
91030,6136,26583,23.1,2804,3332
91040,3853,20911,18.4,1771,2082
91042,4455,27119,16.4,2355,2100
91046,0,141,0.0,0,0
91101,2037,19737,10.3,966,1071
91103,5747,27167,21.2,2683,3064
91104,7013,35918,19.5,3242,3771
91105,1977,12692,15.6,890,1087
91106,3751,23813,15.8,1935,1816
91107,5984,32581,18.4,2973,3011
91108,2894,12559,23.0,1318,1576
91125,3,996,0.3,0,3
91201,4162,22163,18.8,2308,1854
91202,3634,22831,15.9,1846,1788
91203,2735,16679,16.4,1225,1510
91204,3127,18445,17.0,1595,1532
91205,6245,35755,17.5,3419,2826
91206,5259,32294,16.3,2535,2724
91207,2130,11091,19.2,972,1158
91208,2828,15377,18.4,1641,1187
91210,35,310,11.3,0,35
91214,8071,32344,25.0,3734,4337
91301,5923,25244,23.5,2752,3171
91302,5706,26318,21.7,2928,2778
91303,6392,30611,20.9,3111,3281
91304,11244,54369,20.7,5613,5631
91306,10778,49460,21.8,5031,5747
91307,5395,25368,21.3,2912,2483
91311,7921,40196,19.7,3937,3984
91316,5371,28497,18.8,3033,2338
91320,10299,44138,23.3,5044,5255
91321,8885,34305,25.9,5204,3681
91324,5744,29744,19.3,2506,3238
91325,6264,35537,17.6,3386,2878
91326,7655,36503,21.0,3721,3934
91330,30,2699,1.1,19,11
91331,24450,99804,24.5,11844,12606
91335,16435,77158,21.3,8066,8369
91340,8081,34822,23.2,3949,4132
91342,20896,92580,22.6,9523,11373
91343,15378,63193,24.3,7549,7829
91344,10828,53862,20.1,5138,5690
91345,3278,18481,17.7,1719,1559
91350,12160,42970,28.3,5952,6208
91351,7827,32677,24.0,3457,4370
91352,9628,45601,21.1,5064,4564
91354,8574,33039,26.0,4492,4082
91355,5668,30289,18.7,2630,3038
91356,5851,30599,19.1,2755,3096
91360,7860,42444,18.5,3538,4322
91361,3432,18753,18.3,1421,2011
91362,7123,36770,19.4,3216,3907
91364,6567,28765,22.8,3306,3261
