ZIP Code,State,City/Town,Primary Specialty,All Secondary Specialties,Gender,Facility Name,NPI,Provider Last Name,Provider First Name,Provider Middle Name
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,M,LPCH MEDICAL GROUP DIV OF LUCILE,1003829771,MEANEY,PETER,ANDREW
914025423,CA,PANORAMA CITY,PEDIATRIC MEDICINE,INFECTIOUS DISEASE,M,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1013128297,BRONSTEIN,DAVID,E
926041723,CA,IRVINE,PEDIATRIC MEDICINE,,F,MEMORIALCARE MEDICAL FOUNDATION,1013907377,BAKER,MARNIE,
928684203,CA,ORANGE,PEDIATRIC MEDICINE,CARDIOVASCULAR DISEASE (CARDIOLOGY),M,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1013912054,SWENSSON,RICHARD,ERIC
928684203,CA,ORANGE,PEDIATRIC MEDICINE,CARDIOVASCULAR DISEASE (CARDIOLOGY),M,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1013912674,RECTO,MICHAEL,R
928684203,CA,ORANGE,PEDIATRIC MEDICINE,OTOLARYNGOLOGY,M,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1013970169,AHUJA,GURPREET,S
922319722,CA,CALEXICO,PEDIATRIC MEDICINE,,F,CLINICAS DE SALUD DEL PUEBLO INC,1023274040,CARLISLE,SAUNE-ELISABET,
958172207,CA,SACRAMENTO,PEDIATRIC MEDICINE,HEMATOLOGY/ONCOLOGY,M,REGENTS OF THE UNIV OF CA,1023286002,PANIGRAHI,ARUN,RANJAN
926474567,CA,HUNTINGTON BEACH,PEDIATRIC MEDICINE,,M,,1023310687,KIM,SAMUEL,SUNGWON
900276062,CA,LOS ANGELES,PEDIATRIC MEDICINE,,M,CHILDRENS HOSPITAL LOS ANGELES MEDICAL GROUP INC,1023383213,DENTON,CHRISTOPHER,CLEMENT
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,PULMONARY DISEASE,M,LPCH MEDICAL GROUP DIV OF LUCILE,1023728128,AVDIMIRETZ,NICHOLAS,ANDREW
955423201,CA,GARBERVILLE,PEDIATRIC MEDICINE,,M,SOUTHERN HUMBOLDT COMMUNITY HEALTHCARE DISTRICT,1033133202,ROGERS,JOSEPH,E
941432204,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,M,UCSF PEDIATRICS ASSOCIATES,1033168190,KURIO,GREGORY,H
906502808,CA,NORWALK,PEDIATRIC MEDICINE,,M,MANUEL F MENDOZA MD INC,1033394408,AHMED,RASIQ,AJ
900495012,CA,LOS ANGELES,PEDIATRIC MEDICINE,INTERNAL MEDICINE,F,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,1033439898,SESHADRI,ANURADHA,G
900276062,CA,LOS ANGELES,PEDIATRIC MEDICINE,,F,CHILDRENS HOSPITAL LOS ANGELES MEDICAL GROUP INC,1033505805,NGUYEN,ANGELINE,
941153465,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,F,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,1033539671,CHANG,IRENE,
900276062,CA,LOS ANGELES,PEDIATRIC MEDICINE,,F,CHILDRENS HOSPITAL LOS ANGELES MEDICAL GROUP INC,1033555453,GU,PAYAL,KENIA
930032893,CA,VENTURA,PEDIATRIC MEDICINE,,F,PRIMARY MEDICAL GROUP OF VENTURA COUNTY INC,1043233620,WILLIAMS,TRACI,ANN
928684203,CA,ORANGE,PEDIATRIC MEDICINE,MEDICAL GENETICS AND GENOMICS,M,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1043317910,CHANG,RICHARD,C
937106073,CA,FRESNO,PEDIATRIC MEDICINE,MEDICAL GENETICS AND GENOMICS,F,,1043328149,CURRY,CYNTHIA,J
900950001,CA,LOS ANGELES,PEDIATRIC MEDICINE,,F,UC REGENTS,1043402332,KUO,CAROLINE,
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,M,LPCH MEDICAL GROUP DIV OF LUCILE,1043487101,WEN,ANDY,YEN-MING
956774135,CA,ROCKLIN,PEDIATRIC MEDICINE,,M,TURNURE MEDICAL GROUP INC SPC,1043511868,STAFFORD,THOMAS,R
928683201,CA,ORANGE,PEDIATRIC MEDICINE,,F,UC REGENTS,1043542871,NEWMAN,ERIN,G
900481804,CA,WEST HOLLYWOOD,PEDIATRIC MEDICINE,,F,CEDARS-SINAI MEDICAL CENTER,1043581713,PADHYA,DIPTI,
958172207,CA,SACRAMENTO,PEDIATRIC MEDICINE,,M,REGENTS OF THE UNIV OF CA,1043618689,CHAFFIN,ZACHARY,R
941432202,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,F,UCSF MEDICAL GROUP BUSINESS SERVICES,1043697113,BLACK,ELIZABETH,ASHLEY
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,M,LPCH MEDICAL GROUP DIV OF LUCILE,1053426494,ZEE,ERIC,
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,LPCH MEDICAL GROUP DIV OF LUCILE,1053455535,AGARWAL,RAJNI,
928684203,CA,ORANGE,PEDIATRIC MEDICINE,ALLERGY/IMMUNOLOGY,F,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1053532366,FIELD,SARAH,SAMIMI
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,HEMATOLOGY/ONCOLOGY,F,LPCH MEDICAL GROUP DIV OF LUCILE,1053553511,KLEIN,ORLY,
951381529,CA,SAN JOSE,PEDIATRIC MEDICINE,,M,BAY AREA COMMUNITY HEALTH,1053744375,SHAH,SWETANG,
926683849,CA,ORANGE,PEDIATRIC MEDICINE,,M,EMERGENCY MEDICINE SPECIALISTS OF ORANGE COUNTY,1053815852,SHIEH,ANDREW,
956080881,CA,CARMICHAEL,PEDIATRIC MEDICINE,GENERAL PRACTICE,F,ARNOLD GREENBERG MD INC,1063503464,ROYSMAN,ANNA,
941153465,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,MEDICAL GENETICS AND GENOMICS,M,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,1063617298,SHIEH,JOSEPH,T
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,M,LPCH MEDICAL GROUP DIV OF LUCILE,1063754745,AVILA,JONATHAN,TIAGO
935553168,CA,RIDGECREST,PEDIATRIC MEDICINE,INTERNAL MEDICINE,M,RIDGECREST REGIONAL HOSPITAL,1063831972,MODIC,ANDREW,J
941104403,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,F,PACIFIC INPATIENT MEDICAL GROUP,1073046934,JAEEL,POOJA,A
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,GASTROENTEROLOGY,F,LPCH MEDICAL GROUP DIV OF LUCILE,1073603247,MOON,AERI,
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,MEDICAL GENETICS AND GENOMICS,M,LPCH MEDICAL GROUP DIV OF LUCILE,1073617460,STEVENSON,DAVID,A
913031844,CA,CANOGA PARK,PEDIATRIC MEDICINE,,M,"101 FAMILY MEDICAL GROUP,A PROFESSIONAL CORP",1073661807,AKHAVAN,JAMSHEED,
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,CARDIOVASCULAR DISEASE (CARDIOLOGY),F,LPCH MEDICAL GROUP DIV OF LUCILE,1073709648,MOTONAGA,KARA,
945983506,CA,WALNUT CREEK,PEDIATRIC MEDICINE,,F,ONE MEDICAL GROUP INC,1073838280,BHAIJEE,MARIA,
925062658,CA,RIVERSIDE,PEDIATRIC MEDICINE,,F,RIVERSIDE MEDICAL CLINIC INC,1083695456,CRANE,MELANIE,SKROCKI
941153465,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,M,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,1083710891,GOLDSBY,ROBERT,
928684203,CA,ORANGE,PEDIATRIC MEDICINE,CARDIOVASCULAR DISEASE (CARDIOLOGY),M,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1083794259,KICIMAN,NAFIZ,M
941432204,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,F,UCSF PEDIATRICS ASSOCIATES,1083810113,LO,CHRISTINA,
900276062,CA,LOS ANGELES,PEDIATRIC MEDICINE,,F,CHILDRENS HOSPITAL LOS ANGELES MEDICAL GROUP INC,1083820716,ANSELMO,DEAN,M
941432204,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,F,UCSF PEDIATRICS ASSOCIATES,1083971501,DESAI,MANSI,I
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,HEMATOLOGY/ONCOLOGY,F,LPCH MEDICAL GROUP DIV OF LUCILE,1093078313,RAMAKRISHNA,SNEHA,
