"Geographic Area Name (NAME)","Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)","Internal Point (Latitude) (INTPTLAT)","Internal Point (Longitude) (INTPTLON)"
"ZCTA5 89010","995,358,086","9,517,416","384.310","3.675","37.8246942","−118.0791972"
"ZCTA5 89019","1,293,877,441","0","499.569","0.000","35.7694908","−115.5159113"
"ZCTA5 89060","1,164,029,185","83,993","449.434","0.032","36.3915560","−116.0575681"
"ZCTA5 89061","165,855,694","10,631","64.037","0.004","36.0701105","−115.9062487"
"ZCTA5 89439","42,115,079","336,966","16.261","0.130","39.5233524","−119.9903835"
"ZCTA5 90001","8,495,419","0","3.280","0.000","33.9736648","−118.2490388"
"ZCTA5 90002","7,750,658","0","2.993","0.000","33.9489868","−118.2467796"
"ZCTA5 90003","9,389,890","0","3.625","0.000","33.9640773","−118.2736836"
"ZCTA5 90004","7,901,466","0","3.051","0.000","34.0762187","−118.3109634"
"ZCTA5 90005","3,055,752","0","1.180","0.000","34.0593736","−118.3089617"
"ZCTA5 90006","5,008,238","0","1.934","0.000","34.0480942","−118.2940452"
"ZCTA5 90007","6,294,012","0","2.430","0.000","34.0281645","−118.2848289"
"ZCTA5 90008","7,493,792","68,544","2.893","0.026","34.0107237","−118.3428833"
"ZCTA5 90010","1,011,326","0","0.390","0.000","34.0609873","−118.2998843"
"ZCTA5 90011","11,108,402","515","4.289","0.000","34.0070900","−118.2586805"
"ZCTA5 90012","9,422,176","128,581","3.638","0.050","34.0659747","−118.2386422"
"ZCTA5 90013","1,826,725","27,070","0.705","0.010","34.0446854","−118.2400221"
"ZCTA5 90014","775,392","0","0.299","0.000","34.0430056","−118.2518996"
"ZCTA5 90015","4,385,528","0","1.693","0.000","34.0393093","−118.2662548"
"ZCTA5 90016","9,316,180","16,402","3.597","0.006","34.0283315","−118.3543375"
"ZCTA5 90017","1,831,103","0","0.707","0.000","34.0530983","−118.2645052"
"ZCTA5 90018","7,771,932","0","3.001","0.000","34.0286320","−118.3173467"
"ZCTA5 90019","10,024,972","7,710","3.871","0.003","34.0498412","−118.3384601"
"ZCTA5 90020","2,879,823","0","1.112","0.000","34.0663822","−118.3098315"
"ZCTA5 90021","5,120,416","29,156","1.977","0.011","34.0290360","−118.2378702"
"ZCTA5 90022","11,453,822","11,013","4.422","0.004","34.0237282","−118.1562745"
"ZCTA5 90023","11,181,971","142,667","4.317","0.055","34.0225015","−118.1996129"
"ZCTA5 90024","7,702,301","0","2.974","0.000","34.0656447","−118.4352837"
"ZCTA5 90025","6,606,767","3,875","2.551","0.001","34.0454209","−118.4458730"
"ZCTA5 90026","10,436,964","74,935","4.030","0.029","34.0789913","−118.2638036"
"ZCTA5 90027","21,042,927","269,098","8.125","0.104","34.1276025","−118.2963810"
"ZCTA5 90028","3,912,391","0","1.511","0.000","34.0998114","−118.3268365"
"ZCTA5 90029","3,564,133","0","1.376","0.000","34.0898749","−118.2946307"
"ZCTA5 90031","9,064,228","168,754","3.500","0.065","34.0841971","−118.2085674"
"ZCTA5 90032","12,470,642","47,432","4.815","0.018","34.0782936","−118.1857852"
"ZCTA5 90033","8,487,878","92,117","3.277","0.036","34.0503802","−118.2119912"
"ZCTA5 90034","8,031,974","23,525","3.101","0.009","34.0305777","−118.3996127"
"ZCTA5 90035","5,894,449","0","2.276","0.000","34.0514263","−118.3857654"
"ZCTA5 90036","6,360,336","3,300","2.456","0.001","34.0702908","−118.3491910"
"ZCTA5 90037","7,478,860","0","2.888","0.000","34.0026603","−118.2875072"
"ZCTA5 90038","4,009,023","3,325","1.548","0.001","34.0880175","−118.3271685"
